Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Hispanic or Latino,M,Parks & Recreation,42,36.57,R,A
Hispanic or Latino,F,Municipal Court,37,30.48,R,A
Hispanic or Latino,M,Police Department,46,57.7,R,A
Hispanic or Latino,F,Office of Labor Standards,,46.68,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,26,45.81,R,A
Hispanic or Latino,F,Seattle Public Utilities,34,32.48,R,A
Hispanic or Latino,M,Fire Department,47,56.28,R,A
Hispanic or Latino,F,Municipal Court,,31.35,R,A
Hispanic or Latino,F,Immigrant & Refugee Affairs,40,46.408,R,A
Hispanic or Latino,F,Parks & Recreation,67,18.56,T,A
Hispanic or Latino,F,Parks & Recreation,20,18.56,T,A
Hispanic or Latino,F,Human Services Department,31,33.78,T,A
Hispanic or Latino,M,Police Department,61,59.53,R,A
Hispanic or Latino,F,Seattle Public Utilities,31,29.03,R,A
Hispanic or Latino,M,Parks & Recreation,64,42.92,R,A
Hispanic or Latino,M,Seattle City Light,23,19.09,T,A
Hispanic or Latino,M,Seattle City Light,51,61.86,R,A
Hispanic or Latino,F,Seattle Public Utilities,41,53.2,R,A
Hispanic or Latino,M,Finance & Admin Services,53,29.28,R,A
Hispanic or Latino,M,Parks & Recreation,22,18.56,T,A
Hispanic or Latino,M,Seattle Public Utilities,56,41.61,R,A
Hispanic or Latino,M,Fire Department,43,60.35,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,28,44.61,R,A
Hispanic or Latino,F,Parks & Recreation,20,18.56,T,A
Hispanic or Latino,F,Municipal Court,,57.49,T,A
Hispanic or Latino,M,Fire Department,29,36.9,R,A
Hispanic or Latino,M,Seattle City Light,54,69.07,R,A
Hispanic or Latino,F,Seattle Public Utilities,56,40.84,R,A
Hispanic or Latino,M,Parks & Recreation,60,57.87,R,A
Hispanic or Latino,M,Police Department,35,54.29,R,A
Hispanic or Latino,M,Seattle Public Utilities,31,34.52,R,A
Hispanic or Latino,N,Seattle Public Utilities,,44,R,A
Hispanic or Latino,M,Seattle Public Library,30,22.29,R,A
Hispanic or Latino,M,Finance & Admin Services,34,44.79,R,A
Hispanic or Latino,M,Police Department,31,50.03,R,A
Hispanic or Latino,M,Parks & Recreation,76,29.03,R,A
Hispanic or Latino,M,Parks & Recreation,,30.09,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,42,68.557,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,59,57.87,R,A
Hispanic or Latino,M,Seattle Public Utilities,43,52.343,R,A
Hispanic or Latino,M,Finance & Admin Services,,44.79,R,A
Hispanic or Latino,F,Seattle Public Library,55,23.38,R,A
Hispanic or Latino,M,Police Department,51,67.59,R,A
Hispanic or Latino,M,Construction & Inspections,33,44.05,R,A
Hispanic or Latino,M,Police Department,34,54.29,R,A
Hispanic or Latino,F,Information Technology,,44.14,R,A
Hispanic or Latino,F,Seattle City Light,40,40.86,R,A
Hispanic or Latino,M,Fire Department,34,41.06,R,A
Hispanic or Latino,M,Parks & Recreation,39,19.51,T,A
Hispanic or Latino,M,Seattle City Light,63,36.36,R,A
Hispanic or Latino,F,Finance & Admin Services,40,23.14,R,A
Hispanic or Latino,F,Seattle Public Library,25,37.99,R,A
Hispanic or Latino,F,Office of Labor Standards,58,47.48,R,A
Hispanic or Latino,F,Municipal Court,42,31.35,R,A
Hispanic or Latino,F,Seattle City Light,37,49.5,R,A
Hispanic or Latino,M,Seattle City Light,49,36.69,R,A
Hispanic or Latino,M,Police Department,28,33.44,R,A
Hispanic or Latino,M,Police Department,23,40.06,R,P
Hispanic or Latino,M,Office of Housing,47,66.834,R,A
Hispanic or Latino,F,Education & Early Learning,45,62.209,R,A
Hispanic or Latino,M,Finance & Admin Services,33,43.49,R,A
Hispanic or Latino,F,Parks & Recreation,38,29.03,R,A
Hispanic or Latino,F,Sustainability & Environment,29,57.07,R,A
Hispanic or Latino,F,Police Department,49,32.23,R,A
Hispanic or Latino,F,Sustainability & Environment,51,58.931,R,A
Hispanic or Latino,M,Seattle City Light,60,69.6,R,A
Hispanic or Latino,F,Parks & Recreation,19,19.29,T,A
Hispanic or Latino,M,Seattle Public Library,44,40.63,R,A
Hispanic or Latino,F,Parks & Recreation,48,18.91,R,A
Hispanic or Latino,M,Seattle Public Library,23,24.67,R,A
Hispanic or Latino,M,Fire Department,35,46.06,R,A
Hispanic or Latino,M,Seattle Public Utilities,55,41.61,R,A
Hispanic or Latino,M,Office for Civil Rights,29,44,R,A
Hispanic or Latino,M,Parks & Recreation,45,30.09,R,A
Hispanic or Latino,M,Municipal Court,36,45,R,A
