,Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status,Race/Ethnicity_index,Sex_index,Department_index,Regular/Temporary_index,Employee Status_index
0,Hispanic or Latino,M,Parks & Recreation,42,36,R,A,3.0,0.0,0.0,0.0,0.0
1,Hispanic or Latino,F,Municipal Court,37,30,R,A,3.0,1.0,12.0,0.0,0.0
2,Hispanic or Latino,M,Police Department,46,57,R,A,3.0,0.0,2.0,0.0,0.0
3,Hispanic or Latino,F,Office of Labor Standards,44,46,R,A,3.0,1.0,28.0,0.0,0.0
4,Hispanic or Latino,M,Seattle Dept of Transportation,26,45,R,A,3.0,0.0,4.0,0.0,0.0
5,Hispanic or Latino,F,Seattle Public Utilities,34,32,R,A,3.0,1.0,3.0,0.0,0.0
6,Hispanic or Latino,M,Fire Department,47,56,R,A,3.0,0.0,5.0,0.0,0.0
7,Hispanic or Latino,F,Municipal Court,44,31,R,A,3.0,1.0,12.0,0.0,0.0
8,Hispanic or Latino,F,Immigrant & Refugee Affairs,40,46,R,A,3.0,1.0,31.0,0.0,0.0
9,Hispanic or Latino,F,Parks & Recreation,67,18,T,A,3.0,1.0,0.0,1.0,0.0
10,Hispanic or Latino,F,Parks & Recreation,20,18,T,A,3.0,1.0,0.0,1.0,0.0
11,Hispanic or Latino,F,Human Services Department,31,33,T,A,3.0,1.0,7.0,1.0,0.0
12,Hispanic or Latino,M,Police Department,61,59,R,A,3.0,0.0,2.0,0.0,0.0
13,Hispanic or Latino,F,Seattle Public Utilities,31,29,R,A,3.0,1.0,3.0,0.0,0.0
14,Hispanic or Latino,M,Parks & Recreation,64,42,R,A,3.0,0.0,0.0,0.0,0.0
15,Hispanic or Latino,M,Seattle City Light,23,19,T,A,3.0,0.0,1.0,1.0,0.0
16,Hispanic or Latino,M,Seattle City Light,51,61,R,A,3.0,0.0,1.0,0.0,0.0
17,Hispanic or Latino,F,Seattle Public Utilities,41,53,R,A,3.0,1.0,3.0,0.0,0.0
18,Hispanic or Latino,M,Finance & Admin Services,53,29,R,A,3.0,0.0,10.0,0.0,0.0
